korean,pronunciation,hanja,part_of_speech,definition,english
대화,대ː화,對話,명사,마주 대하여 이야기를 주고받음. 또는 그 이야기.,dialogue; conversation; talk
대회,대ː회/대ː훼,大會,명사,많은 사람이 모이는 모임이나 회의.,meeting; convention
댁,댁,宅,명사,(높이는 말로) 남의 집이나 가정.,one's family
더,더,,부사,보태어 계속해서.,more
더욱,더욱,,부사,정도가 한층 더 심하게. 더 크게.,more; further
덕분,덕뿐,德分,명사,어떤 사람이 베풀어준 은혜나 도움. 혹은 어떤 일이 발생한 것이 준 이익.,indebtedness
데이트,,date,명사,남자와 여자가 서로 사귀려고 만나는 일.,date
도,,,조사,이미 있는 어떤 것에 다른 것을 더하거나 포함함을 나타내는 조사.,do
도로,도ː로,道路,명사,사람이나 차가 잘 다닐 수 있도록 만들어 놓은 길.,road
도서관,도서관,圖書館,명사,책과 자료 등을 많이 모아 두고 사람들이 빌려 읽거나 공부를 할 수 있게 마련한 시설.,library
도시,도시,都市,명사,"정치, 경제, 문화의 중심이 되고 사람이 많이 사는 지역.",city
도움,도움,,명사,다른 사람을 돕는 일.,help
도착,도ː착,到着,명사,목적지에 다다름.,arrival
독서,독써,讀書,명사,책을 읽음.,reading
독일,도길,獨逸,명사,유럽의 중부에 있는 나라. 제이 차 세계 대전 후에 동서로 분단되었다가 1990년 통일되었다. 경제 대국이며 과학 기술과 공업이 매우 발전하였다. 공용어는 독일어이고 수도는 베를린이다.,Germany
돈,돈ː,,명사,물건을 사고팔 때나 일한 값으로 주고받는 동전이나 지폐.,money
돈가스,,←ton[豚]kasu,명사,도톰하게 썬 돼지고기를 양념하여 빵가루를 묻히고 기름에 튀긴 음식.,pork cutlet
돌,돌ː,,명사,흙이나 모래 등이 굳어서 생긴 단단한 덩어리.,stone
동네,동ː네,洞네,명사,사람들이 생활하는 여러 집이 모여 있는 곳.,neighborhood
동대문,동대문,東大門,명사,서울에 위치한 조선 시대 도성의 동쪽 정문. 사대문의 하나로 '흥인지문'이 정식 이름이다.,Dongdaemun Gate
동물,동ː물,動物,명사,생물계의 두 갈래 가운데 먹이로 영양분을 얻고 자유롭게 몸을 움직일 수 있는 생물.,animal
동물원,동ː무뤈,動物園,명사,여러 동물들을 가두어 기르면서 사람들이 구경할 수 있도록 해 놓은 곳.,zoo
동생,동생,,명사,같은 부모에게서 태어난 형제나 친척 형제들 중에서 나이가 적은 사람을 이르거나 부르는 말.,brother; sister
동시,동시,同時,명사,같은 때.,simultaneousness; concurrence
동안,동안,,명사,한때에서 다른 때까지의 시간의 길이.,while
동전,동전,,명사,구리 등으로 동그랗게 만든 돈.,coin
동쪽,동쪽,東쪽,명사,"네 방위 중의 하나로, 해가 뜨는 쪽.",east
돼지,돼ː지,,명사,"몸이 뚱뚱하고 다리와 꼬리가 짧고 눈이 작은, 고기를 먹기 위해 기르는 짐승.",pig
돼지고기,돼ː지고기,,명사,음식으로 먹는 돼지의 고기.,pork
된장,된ː장/뒌ː장,,명사,간장을 담근 뒤에 남은 메주를 발효시켜 만든 장.,doenjang; soybean paste
된장찌개,된ː장찌개/뒌ː장찌개,된醬찌개,명사,"된장을 물에 넣고 파, 호박, 두부 등을 넣고 끓인 찌개.",doenjangjjigae; soybean paste jjigae
두,두ː,,관형사,둘의.,two
두부,두부,豆腐,명사,콩을 갈아서 만든 희고 부드러운 음식.,tofu
두세,두세,,관형사,둘이나 셋의.,a couple of
두통,두통,頭痛,명사,머리가 아픈 증세.,headache
둘,둘ː,,수사,하나에 하나를 더한 수.,two
둘째,둘ː째,,명사,처음부터 세어 모두 두 개가 됨.,second
뒤,뒤ː,,명사,향하고 있는 방향의 반대쪽.,back
뒤쪽,뒤ː쪽,,명사,향하고 있는 방향의 반대쪽.,back
드디어,드디어,,부사,고대하던 것이 끝내. 결국에 가서.,at last; finally
드라마,,drama,명사,극장에서 공연되거나 텔레비전 등에서 방송되는 극.,drama
등,등,,명사,사람이나 동물의 몸에서 가슴과 배의 반대쪽 부분.,back
등산,등산,登山,명사,운동이나 놀이 등의 목적으로 산에 올라감.,hike; mountain climbing
디자인,,design,명사,"의상, 공업 제품, 건축 등의 실용적인 목적을 가진 작품의 설계나 도안.",design
따로,따로,,부사,다른 것들과 함께 하거나 섞이지 않게.,separately
딸,딸,,명사,부모가 낳은 아이 중 여자. 여자인 자식.,daughter
딸기,딸ː기,,명사,"줄기가 땅 위로 뻗으며, 겉에 씨가 박혀 있는 빨간 열매가 열리는 여러해살이풀. 또는 그 열매.",strawberry
땀,땀,,명사,덥거나 몸이 아프거나 긴장을 했을 때 피부를 통해 나오는 짭짤한 맑은 액체.,sweat
땅,땅,,명사,지구에서 물로 된 부분이 아닌 흙이나 돌로 된 부분.,ground; land
때,때,,명사,시간의 어떤 순간이나 부분.,time
떡,떡,,명사,"인절미, 송편 등과 같이 곡식 가루를 찌거나 삶아서 익힌 것을 빚어서 만든 음식.",tteok; rice cake
떡국,떡꾹,,명사,가래떡을 얇게 썰어 맑은 국에 넣고 끓인 음식.,tteokguk; sliced rice cake soup
떡볶이,떡뽀끼,,명사,적당히 자른 가래떡에 간장이나 고추장 등의 양념과 여러 가지 채소를 넣고 볶은 음식.,tteokbokki
또,또,,부사,어떤 일이나 행동이 다시.,once more
또는,또는,,부사,그렇지 않으면.,or
똑같이,똑까치,,부사,"사물의 모양, 분량, 성질 등이 서로 조금도 다른 데가 없이.",equally; evenly
똑바로,똑빠로,,부사,어느 쪽으로도 기울지 않고 곧게.,straight; upright
뜻,뜯,,명사,마음에 있는 생각이나 의견.,intention; opinion; wish; cause
라디오,,radio,명사,방송국에서 음성을 전파로 내보내 수신 장치를 갖춘 사람들이 듣게 하는 일. 또는 그런 방송.,radio
라면,,,어미,어떠한 사실이나 상황을 가정하는 뜻을 나타내는 연결 어미.,-ramyeon
러시아,,Russia,명사,"유럽의 동부와 시베리아에 걸쳐 있는 나라. 세계에서 가장 넓은 나라로 북쪽으로는 북극해, 동쪽으로는 태평양과 접해 있다. 공용어는 러시아어이고 수도는 모스크바이다.",Russia
레스토랑,,restaurant,명사,서양 음식을 파는 음식점.,restaurant
마당,마당,,명사,집에 딸려 있는 평평하고 비어 있는 땅.,garden; yard
마리,마리,,의존 명사,"짐승이나 물고기, 벌레 등을 세는 단위.",mari
마을,마을,,명사,여러 집이 모여 있는 곳.,town
마음,마음,,명사,사람이 태어날 때부터 지닌 성질.,personality
마중,마중,,명사,역이나 공항 등에 나가서 자기를 찾아오는 사람을 맞이함.,pick up
마지막,마지막,,명사,시간이나 순서의 맨 끝.,last
마트,,mart,명사,각종 생활용품을 판매하는 대형 매장.,mart
마흔,마흔,,수사,열의 네 배가 되는 수.,forty
막걸리,막껄리,,명사,맛이 약간 텁텁하며 쌀로 만든 한국 고유의 하얀색 술.,makgeolli; unrefined rice wine
만,,,조사,다른 것은 제외하고 어느 것을 한정함을 나타내는 조사.,man
만두,만두,饅頭,명사,밀가루를 반죽하여 얇게 민 후 그 위에 다진 고기나 야채 등 여러 가지 음식을 넣고 빚은 음식.,mandu
만약,마ː냑,萬若,명사,있을지도 모르는 뜻밖의 경우.,supposing
만일,마ː닐,萬一,명사,있을지도 모르는 뜻밖의 경우.,supposing
만화,만ː화,漫畫,명사,사람의 인생이나 사회 또는 상상 속의 이야기를 재미있게 표현한 그림. 또는 그런 그림을 엮은 책.,comics
많이,마ː니,,부사,"수나 양, 정도 등이 일정한 기준보다 넘게.",much; in large numbers; in large amounts
말,말ː,,명사,생각이나 느낌을 표현하고 전달하는 사람의 소리.,speech; words
말레이시아,,Malaysia,명사,"동남아시아 말레이반도의 남쪽과 보르네오섬 일부에 걸쳐 있는 나라. 주요 생산물로는 고무, 석유, 목재 등이 있다. 공용어는 말레이어이고 수도는 쿠알라룸푸르이다.",Malaysia
말씀,말ː씀,,명사,(높이는 말로) 남의 말.,words
맛,맏,,명사,음식 등을 혀에 댈 때 느껴지는 감각.,taste
매년,매ː년,每年,명사,한 해 한 해.,being annual
매달,매ː달,每달,부사,각각의 달마다.,every month
매우,매우,,부사,보통보다 훨씬 더.,very; very much; greatly
매일,매ː일,每日,명사,하루하루의 모든 날.,everyday
매주,매ː주,每週,명사,각각의 주.,being weekly
매표소,매ː표소,賣票所,명사,차표나 입장권 등의 표를 파는 곳.,ticket office
맥주,맥쭈,麥酒,명사,주로 발효시킨 보리에 물과 쓴 맛과 탄산을 더하여 만든 거품이 나는 술.,beer
머리,머리,,명사,사람이나 동물의 몸에서 얼굴과 머리털이 있는 부분을 모두 포함한 목 위의 부분.,head
머리카락,머리카락,,명사,머리털 하나하나.,hair
먼저,먼저,,부사,시간이나 순서에서 앞서.,earlier; first
멀리,멀ː리,,부사,시간이나 거리가 꽤 떨어지게.,far
멋,먿,,명사,"생김새, 행동, 차림새 등을 꾸며 놓은 것이 세련되고 보기에 좋은 모양.",stylishness; being fashionable; being chic
메뉴,,menu,명사,음식점에서 파는 음식의 종류와 가격을 적은 판.,menu
메모,,memo,명사,잊지 않거나 다른 사람에게 전하기 위해 어떤 내용을 간단하게 글로 적음. 또는 그렇게 적은 글.,memo
메시지,,message,명사,어떤 사실을 알리거나 주장하거나 경고하기 위해 특별히 전하는 말.,message
메일,,mail,명사,인터넷이나 통신망으로 주고받는 편지.,e-mail; electronic mail
며칠,며칠,,명사,그달의 몇째 날.,date
명,명,名,의존 명사,사람의 수를 세는 단위.,person
명절,명절,名節,명사,설이나 추석 등 해마다 일정하게 돌아와 전통적으로 즐기거나 기념하는 날.,national holiday
몇,멷,,수사,많지 않은 막연한 수.,some; several
모기,모ː기,,명사,"사람이나 가축의 피를 빨아 먹는, 날아다니는 작은 곤충.",mosquito
모두,모두,,명사,남거나 빠진 것이 없는 전체.,all
모든,모ː든,,관형사,빠지거나 남는 것 없이 전부인.,every
모레,모ː레,,명사,내일의 다음 날.,day after tomorrow
모습,모습,,명사,사람이나 사물의 생김새.,appearance; look
모양,모양,模樣,명사,겉으로 나타나는 생김새나 모습.,shape
모임,모임,,명사,어떤 일을 하기 위하여 여러 사람이 모이는 일.,meeting; gathering
모자,모자,帽子,명사,예의를 차리거나 추위나 더위 등을 막기 위해 머리에 쓰는 물건.,hat
목,목,,명사,사람이나 동물의 머리와 몸통을 잇는 잘록한 부분.,neck
목걸이,목꺼리,,명사,보석 등을 줄에 꿰어서 목에 거는 장식품.,necklace
목도리,목또리,,명사,추위를 막기 위하여 목에 두르는 것.,scarf
목소리,목쏘리,,명사,사람의 목구멍에서 나는 소리.,voice
목요일,모교일,木曜日,명사,월요일을 기준으로 한 주의 넷째 날.,Thursday
목욕,모굑,沐浴,명사,온몸을 물로 씻는 일.,bath
목욕탕,모굑탕,沐浴湯,명사,물로 온몸을 씻을 수 있도록 마련해 놓은 시설이나 방.,bathhouse
목적,목쩍,目的,명사,이루려고 하는 일이나 나아가고자 하는 방향.,purpose
몸,몸,,명사,사람이나 동물의 모습을 이루는 머리부터 발까지의 전체. 또는 그것의 상태.,body
몽골,,←Mongolia,명사,"만주의 서쪽이자 시베리아의 남쪽에 있는 지역. 칭기즈 칸이 13세기 초 중국 본토의 북쪽에 세운 몽골 제국이 있던 곳으로 청나라 때 외몽골과 내몽골로 나누어졌다. 북쪽으로는 러시아, 남쪽으로는 중국과 맞닿아 있다.",Mongolia
무,무,無,명사,없거나 존재하지 않는 상태.,nothing; nothingness; zero
무게,무게,,명사,물건의 무거운 정도.,weight
무궁화,무궁화,無窮花,명사,"여름부터 가을까지 피며, 흰색, 보라색, 붉은색 등의 꽃잎이 종 모양으로 넓게 피는 꽃.",mugunghwa
무료,무료,無料,명사,요금이 없음.,free; no charge; complimentary
무릎,무릅,,명사,허벅지와 종아리 사이에 앞쪽으로 둥글게 튀어나온 부분.,knee
무슨,무슨,,관형사,"확실하지 않거나 잘 모르는 일, 대상, 물건 등을 물을 때 쓰는 말.",what
무엇,무얻,,대명사,모르는 사실이나 사물을 가리키는 말.,what
무척,무척,,부사,"다른 것과 비교할 수 없을 만큼, 매우, 아주, 대단히.",very; extremely
문,문,門,명사,사람이 안과 밖을 드나들거나 물건을 넣고 꺼낼 수 있게 하기 위해 열고 닫을 수 있도록 만든 시설.,door
문제,문ː제,問題,명사,답을 요구하는 물음.,problem; question
문화,문화,文化,명사,"사회의 공동체가 일정한 목적 또는 생활 이상을 실현하기 위하여 만들고, 익히고, 공유하고, 전달하는 물질적, 정신적 활동.",culture
물,물,,명사,"강, 호수, 바다, 지하수 등에 있으며 순수한 것은 빛깔, 냄새, 맛이 없고 투명한 액체.",water
물건,물건,物件,명사,일정한 모양을 갖춘 어떤 물질.,article; thing; item; goods
물고기,물꼬기,,명사,"물에서 사는, 아가미와 지느러미와 비늘이 있는 척추동물.",fish
물론,물론,勿論,명사,굳이 말할 필요가 없음.,of course
뭐,뭐ː,,대명사,모르는 사실이나 사물을 가리키는 말.,what
미국,미국,美國,명사,북아메리카 대륙의 중앙에 있는 나라. 한국의 주요 교역국이자 국제 정치와 경제에서 중요한 위치를 차지하고 있다. 공용어는 영어이고 수도는 워싱턴이다.,the United States
미래,미ː래,未來,명사,앞으로 올 때.,future; days ahead
미리,미리,,부사,어떤 일이 있기 전에 먼저.,in advance; ahead of time
미술관,미ː술관,美術館,명사,미술품을 전시하여 사람들이 볼 수 있게 만든 시설.,art museum; art gallery
미안,미안,未安,명사,남에게 잘못을 하여 마음이 편하지 않고 부끄러움.,being sorry
